Все Дорофей
###./DeepSpeech.py   --train_batch_size 10  --test_batch_size 10   --n_hidden 1024   --epochs 180   --early_stop True   --es_mean_th 0.1   --es_std_th 0.1   --dropout_rate 0.30   --learning_rate 0.0005   --report_count 100   --train_files ../sah_6h_2019-06-12/clips/train.csv --test_files ../sah_6h_2019-06-12/clips/test.csv --checkpoint_dir ../checkpoints --alphabet_config_path ../alphabet_sah.txt



I STARTING Optimization
 - wav: file:///home/dorofei/sakhaspeech/sah_6h_2019-06-12/clips/2079bba8c4f98ac9b3db172d7f2c88b40ff6812cdf699830388990dccf4aeb6be872b13983f4f60ef8d74df01869f4cba76d311543e917ac59e951389f457df2.wav
 - src: "аһын күҥҥэ иккитэ уларытан көрөллөр да"
 - res: "книсктуад"
--------------------------------------------------------------------------------
WER: 1.000000, CER: 0.780488, loss: 34.233517
 - wav: file:///home/dorofei/sakhaspeech/sah_6h_2019-06-12/clips/2188ce3aeb714fcd1c01790567c79a867fee0c7e614a32b6fd9edc5610e1b64b0f7d1cfbc985c23d4fb260bb77b5139d5a8a95f7298d81bffec2cb9dcbf02523.wav
 - src: "сарсыарда эрдэ туран ас астаан ыытыам этэ"
 - res: "саханатусонт"
--------------------------------------------------------------------------------
WER: 1.000000, CER: 0.828571, loss: 37.393223
 - wav: file:///home/dorofei/sakhaspeech/sah_6h_2019-06-12/clips/1f6561441a5885c6831bd4dbf648766fbcb06e68ff4d68ee8344444d67a93dcf2228a6fb5cfed40f2da1cda2811d5aa9c71a4226040eea9b1f4953615bedc591.wav
 - src: "бу туран арааһы ырыта саныы турабын"
 - res: "туантр"
--------------------------------------------------------------------------------
WER: 1.000000, CER: 0.809524, loss: 47.842941
 - wav: file:///home/dorofei/sakhaspeech/sah_6h_2019-06-12/clips/db8589cc318e7d25d5648ca2b71524ce70e2440ea058d7c64b11cb36f8f450fdd7de747e019fba2f4cca133de4da5ef41af926ced1e964eb24c8e7372d8e9fcc.wav
 - src: "диэн ат дьааһыгыттан испиир куттан киирбит"
 - res: "насаттаса"
--------------------------------------------------------------------------------
WER: 1.000000, CER: 0.763158, loss: 49.986370
 - wav: file:///home/dorofei/sakhaspeech/sah_6h_2019-06-12/clips/c00059360e9853e132ae580092df5d518d6a5cc059a819da19ad6e1a7273d12faa6db8f2040a79ee38e81dc41c4d3ea1fda038cbb4b5bb3e3791ca50ca4eea8b.wav
 - src: "сотору үрүҥ дьураа эмиэ мэлийэн хаалла"
 - res: "сотддмауинал"
